Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000117800965739838,3.60395530274273E-09,0.00533195829127769,0,0,0,0.90458187696356,0.000933635377152713,-2.59061192096811E-11,6.47739534078497E-06,0.00144500934952677,-5.95495047173037E-10,0.00214373311610833,0,0,0,0,0,0,package://ASEEL/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASEEL/meshes/base_link.STL,,Torso_V11-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_shoulder,-0.000970287928558175,1.43784454992407E-06,-0.0177365778335415,0,0,0,0.126030436122441,4.59863338380217E-05,7.84858176738146E-09,-1.13222032788304E-06,6.27279144073342E-05,3.40708639959301E-09,3.90648826225906E-05,0,0,0,0,0,0,package://ASEEL/meshes/FR_shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASEEL/meshes/FR_shoulder.STL,,FR_shoulder_V11-1,Origin_FR_base_shoulder_joint,Axis_FR_base_shoulder_joint,FR_base_shoulder_joint,revolute,0.1549,-0.0530000535776146,0,1.5707963267949,0,-1.5707963267949,base_link,0,0,1,0,0,-2.0944,2.0944,,,,,,,,
FR_hip,0.00077187383719951,-0.0606076511327016,0.0155152005506251,0,0,0,0.182869560751865,0.0002523448939588,-2.87807763554777E-06,-3.39518871085523E-08,3.83064999571908E-05,-1.48134860485744E-07,0.000242515907395856,0,0,0,0,0,0,package://ASEEL/meshes/FR_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASEEL/meshes/FR_hip.STL,,FR_upper_leg-1,Origin_FR_shoulder_hip_joint,Axis_FR_shoulder_hip_joint,FR_shoulder_hip_joint,revolute,0.0439,0,0,0,1.5707963267949,0,FR_shoulder,0,0,1,0,0,-2.0944,2.0944,,,,,,,,
FR_leg,1.43730509993834E-07,-0.0562168566562656,-3.97795066264806E-06,0,0,0,0.0582935395770901,0.000152157231305915,-8.88216209861702E-10,-4.37278190964717E-11,4.04284990910996E-06,2.21081132430397E-08,0.000153478811159089,0,0,0,0,0,0,package://ASEEL/meshes/FR_leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASEEL/meshes/FR_leg.STL,,FR_Lower_leg_V11-1,Origin_FR_hip_leg_joint,Axis_FR_hip_leg_joint,FR_hip_leg_joint,revolute,0,-0.15,0,0,0,0,FR_hip,0,0,1,0,0,0.5236,2.618,,,,,,,,
FR_toe,-0.000596190546970826,0.0120407485206023,3.84783939433309E-09,0,0,0,0.00928636527042137,9.48247904111129E-07,3.28936864772133E-09,1.92578922406109E-11,1.56455944284968E-06,-3.1633142839233E-13,1.66150195785123E-06,0,0,0,0,0,0,package://ASEEL/meshes/FR_toe.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASEEL/meshes/FR_toe.STL,,toe_V12-2,Origin_FR_leg_toe_joint,,FR_leg_toe_joint,fixed,0,-0.15,0,0,0,0,FR_leg,0,0,0,,,,,,,,,,,,
BR_shoulder,-0.000970287928558189,-1.43784454991467E-06,0.0177365778335414,0,0,0,0.126030436122441,4.59863338380217E-05,-7.84858176737931E-09,1.13222032788304E-06,6.27279144073342E-05,3.40708639959264E-09,3.90648826225906E-05,0,0,0,0,0,0,package://ASEEL/meshes/BR_shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASEEL/meshes/BR_shoulder.STL,,BR_shoulder_V11-1,Origin_BR_base_shoulder_joint,Axis_BR_base_shoulder_joint,BR_base_shoulder_joint,revolute,-0.1549,-0.053,0,1.5708,0,-1.5708,base_link,0,0,-1,0,0,-2.0944,2.0944,,,,,,,,
BR_hip,0.000771873837199455,-0.0606076511327016,0.0155152005506251,0,0,0,0.182869560751866,0.0002523448939588,-2.87807763554778E-06,-3.39518871085365E-08,3.83064999571909E-05,-1.4813486048576E-07,0.000242515907395856,0,0,0,0,0,0,package://ASEEL/meshes/BR_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASEEL/meshes/BR_hip.STL,,BR_upper_leg_V11-1,Origin_BR_shoulder_hip_joint,Axis_BR_shoulder_hip_joint,BR_shoulder_hip_joint,revolute,0.0439,0,0,0,1.5707963267949,0,BR_shoulder,0,0,1,0,0,-2.0944,2.0944,,,,,,,,
BR_leg,1.43730509993834E-07,-0.0562168566562654,-3.97795066264806E-06,0,0,0,0.0582935395770903,0.000152157231305894,-8.88216827581747E-10,-4.37278191180572E-11,4.04284990775868E-06,2.21081132430353E-08,0.000153478811157716,0,0,0,0,0,0,package://ASEEL/meshes/BR_leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASEEL/meshes/BR_leg.STL,,BR_Lower_leg_V11-1,Origin_BR_hip_leg_joint,Axis_BR_hip_leg_joint,BR_hip_leg_joint,revolute,0,-0.15,0,0,0,0,BR_hip,0,0,1,0,0,0.5236,2.618,,,,,,,,
BR_toe,-0.0005961905469688,0.0120407485206022,3.84783943596645E-09,0,0,0,0.00928636527042151,9.48247904111135E-07,3.2893686477132E-09,1.92578922435809E-11,1.56455944284962E-06,-3.16331431284772E-13,1.66150195785117E-06,0,0,0,0,0,0,package://ASEEL/meshes/BR_toe.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASEEL/meshes/BR_toe.STL,,toe_V12-1,Origin_BR_leg_toe,Axis_BR_leg_toe,BR_leg_toe,fixed,0,-0.150000000000034,0,0,0,0,BR_leg,0,0,0,,,,,,,,,,,,
FL_shoulder,-0.000970287928558175,-1.43784454991988E-06,0.0177365778335414,0,0,0,0.126030436122441,4.59863338380217E-05,-7.84858176737605E-09,1.13222032788304E-06,6.27279144073342E-05,3.40708639959327E-09,3.90648826225906E-05,0,0,0,0,0,0,package://ASEEL/meshes/FL_shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASEEL/meshes/FL_shoulder.STL,,FL_shoulder_V11-1,Origin_FL_base_shoulder_joint,Axis_FL_base_shoulder_joint,FL_base_shoulder_joint,revolute,0.1549,0.053,0,1.5708,0,1.5708,base_link,0,0,1,0,0,-2.0944,2.0944,,,,,,,,
FL_hip,-0.000769768516371561,-0.0606084345817354,0.0155158302503211,0,0,0,0.182862361189565,0.000252344247771645,2.87315613778536E-06,4.09648863235255E-08,3.83073180128586E-05,-1.4816800661719E-07,0.000242516393871208,0,0,0,0,0,0,package://ASEEL/meshes/FL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASEEL/meshes/FL_hip.STL,,FL_upper_leg_V11-1,Origin_FL_shoulder_hip_joint,Axis_FL_shoulder_hip_joint,FL_shoulder_hip_joint,revolute,0.0439,0,0,0,1.5707963267949,0,FL_shoulder,0,0,1,0,0,-2.0944,2.0944,,,,,,,,
FL_leg,1.43730509938322E-07,-0.0562168566562656,-3.97795066263418E-06,0,0,0,0.0582935395770901,0.000152157231305841,-8.88216415399482E-10,-4.37278191441204E-11,4.04284990940124E-06,2.21081132429994E-08,0.000153478811159306,0,0,0,0,0,0,package://ASEEL/meshes/FL_leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASEEL/meshes/FL_leg.STL,,FL_Lower_leg_V11-1,Origin_FL_hip_leg_joint,Axis_FL_hip_leg_joint,FL_hip_leg_joint,revolute,0,-0.15,0,3.14159265358979,0,3.14159265358979,FL_hip,0,0,1,0,0,0.5236,2.618,,,,,,,,
FL_toe,-0.000596190546969383,0.0120407485206024,3.84783942208866E-09,0,0,0,0.00928636527042142,9.48247904111061E-07,3.28936864632139E-09,1.92578922390329E-11,1.56455944284956E-06,-3.16331429548457E-13,1.66150195785103E-06,0,0,0,0,0,0,package://ASEEL/meshes/FL_toe.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASEEL/meshes/FL_toe.STL,,toe_V12-3,Origin_FL_leg_toe_joint,Axis_FL_leg_toe_joint,FL_leg_toe_joint,fixed,0,-0.149999999999966,0,0,0,0,FL_leg,0,0,0,,,,,,,,,,,,
BL_shoulder,-0.000970287928558182,1.43784454991182E-06,-0.0177365778335414,0,0,0,0.126030436122441,4.59863338380217E-05,7.84858176738043E-09,-1.13222032788304E-06,6.27279144073342E-05,3.40708639959423E-09,3.90648826225906E-05,0,0,0,0,0,0,package://ASEEL/meshes/BL_shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASEEL/meshes/BL_shoulder.STL,,BL_shoulder_V11-1,Origin_BL_base_shoulder_joint,Axis_BL_base_shoulder_joint,BL_base_shoulder_joint,revolute,-0.1549,0.0530000535776146,0,1.5707963267949,0,1.5707963267949,base_link,0,0,-1,0,0,-2.0944,2.0944,,,,,,,,
BL_hip,-0.000769768516371588,-0.0606084345817354,0.0155158302503211,0,0,0,0.182862361189565,0.000252344247771645,2.87315613778526E-06,4.09648863235187E-08,3.83073180128585E-05,-1.48168006617098E-07,0.000242516393871207,0,0,0,0,0,0,package://ASEEL/meshes/BL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASEEL/meshes/BL_hip.STL,,BL_upper_leg_V11-1,Origin_BL_shoulder_hip_joint,Axis_BL_shoulder_hip_joint,BL_shoulder_hip_joint,revolute,0.0439,0,0,0,1.5707963267949,0,BL_shoulder,0,0,1,0,0,-2.0944,2.0944,,,,,,,,
BL_leg,1.43730510104856E-07,-0.0562168566562657,-3.97795066264806E-06,0,0,0,0.05829353957709,0.000152157231305869,-8.88215150243676E-10,-4.37278191082278E-11,4.04284990642428E-06,2.21081132430399E-08,0.000153478811156357,0,0,0,0,0,0,package://ASEEL/meshes/BL_leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASEEL/meshes/BL_leg.STL,,BL_Lower_leg_V11-1,Origin_BL_hip_leg_joint,Axis_BL_hip_leg_joint,BL_hip_leg_joint,revolute,0,-0.15,0,3.14159265358979,0,3.14159265358979,BL_hip,0,0,1,0,0,0.5236,2.618,,,,,,,,
BL_toe,-0.000596190546968411,0.0120407485206018,3.84783944984424E-09,0,0,0,0.0092863652704216,9.48247904111144E-07,3.28936864772406E-09,1.92578922441166E-11,1.56455944284961E-06,-3.16331434958039E-13,1.66150195785116E-06,0,0,0,0,0,0,package://ASEEL/meshes/BL_toe.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ASEEL/meshes/BL_toe.STL,,toe_V12-4,Origin_BL_leg_toe_joint,Axis_BL_leg_toe_joint,BL_leg_toe_joint,fixed,0,-0.150000000000033,0,0,0,0,BL_leg,0,0,0,,,,,,,,,,,,
